"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, persons charged","Number","223","units","0","v66991382","158.1.7","1132","","","","0"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, persons charged","Number","223","units","0","v66991382","158.1.7","1215","","","","0"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, persons charged","Number","223","units","0","v66991382","158.1.7","1170","","","","0"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, persons charged","Number","223","units","0","v66991382","158.1.7","1246","","","","0"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, persons charged","Number","223","units","0","v66991382","158.1.7","1252","","","","0"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, persons charged","Number","223","units","0","v66991382","158.1.7","1218","","","","0"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, persons charged","Number","223","units","0","v66991382","158.1.7","1412","","","","0"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, persons charged","Number","223","units","0","v66991382","158.1.7","1616","","","","0"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v66991383","158.1.8","1992.72","","","","2"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v66991383","158.1.8","2124.47","","","","2"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v66991383","158.1.8","2248.08","","","","2"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v66991383","158.1.8","2128.55","","","","2"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v66991383","158.1.8","2222.78","","","","2"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v66991383","158.1.8","2198.77","","","","2"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v66991383","158.1.8","2130.90","","","","2"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v66991383","158.1.8","2393.59","","","","2"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v66991383","158.1.8","2618.15","","","","2"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, adult charged","Number","223","units","0","v66991384","158.1.9","924","","","","0"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, adult charged","Number","223","units","0","v66991384","158.1.9","1048","","","","0"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, adult charged","Number","223","units","0","v66991384","158.1.9","1089","","","","0"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, adult charged","Number","223","units","0","v66991384","158.1.9","1052","","","","0"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, adult charged","Number","223","units","0","v66991384","158.1.9","1138","","","","0"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, adult charged","Number","223","units","0","v66991384","158.1.9","1192","","","","0"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, adult charged","Number","223","units","0","v66991384","158.1.9","1163","","","","0"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, adult charged","Number","223","units","0","v66991384","158.1.9","1347","","","","0"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, adult charged","Number","223","units","0","v66991384","158.1.9","1512","","","","0"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v66991385","158.1.10","1905.67","","","","2"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v66991385","158.1.10","2103.83","","","","2"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v66991385","158.1.10","2157.93","","","","2"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v66991385","158.1.10","2050.32","","","","2"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v66991385","158.1.10","2171.84","","","","2"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v66991385","158.1.10","2235.98","","","","2"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v66991385","158.1.10","2171.11","","","","2"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v66991385","158.1.10","2444.07","","","","2"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v66991385","158.1.10","2625.73","","","","2"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth charged","Number","223","units","0","v66991386","158.1.11","111","","","","0"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth charged","Number","223","units","0","v66991386","158.1.11","84","","","","0"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth charged","Number","223","units","0","v66991386","158.1.11","126","","","","0"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth charged","Number","223","units","0","v66991386","158.1.11","118","","","","0"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth charged","Number","223","units","0","v66991386","158.1.11","108","","","","0"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth charged","Number","223","units","0","v66991386","158.1.11","60","","","","0"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth charged","Number","223","units","0","v66991386","158.1.11","55","","","","0"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth charged","Number","223","units","0","v66991386","158.1.11","65","","","","0"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth charged","Number","223","units","0","v66991386","158.1.11","104","","","","0"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991387","158.1.12","3215.53","","","","2"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991387","158.1.12","2420.75","","","","2"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991387","158.1.12","3518.57","","","","2"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991387","158.1.12","3225.81","","","","2"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991387","158.1.12","2952.43","","","","2"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991387","158.1.12","1652.44","","","","2"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991387","158.1.12","1531.18","","","","2"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991387","158.1.12","1676.12","","","","2"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991387","158.1.12","2512.68","","","","2"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v66991388","158.1.13","122","","","","0"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v66991388","158.1.13","123","","","","0"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v66991388","158.1.13","131","","","","0"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v66991388","158.1.13","65","","","","0"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v66991388","158.1.13","89","","","","0"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v66991388","158.1.13","76","","","","0"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v66991388","158.1.13","68","","","","0"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v66991388","158.1.13","66","","","","0"
