,,"Incident-Based Crime Statistics (rate per 100,000)",,,,
"Brantford, Ontario (8)",Total other Criminal Code traffic violations,113.9,100.88,73.09,69.1,59.52
"Brantford, Ontario (8)","Dangerous operation, causing death",0,0.72,0.72,0,0
"Brantford, Ontario (8)","Dangerous operation, causing bodily harm",2.9,1.44,2.87,1.42,0.71
"Brantford, Ontario (8)","Dangerous operation of motor vehicle, vessel or aircraft",49.33,50.44,27.95,32.77,23.38
"Brantford, Ontario (8)","Dangerous operation evading police, causing death",,,0,0,0
"Brantford, Ontario (8)","Dangerous operation evading police, causing bodily harm",0,0,0,0,0.71
"Brantford, Ontario (8)",Dangerous operation of motor vehicle evading police,18.86,15.13,10.03,7.12,8.5
"Brantford, Ontario (8)",Total fail to stop or remain (46),14.51,5.04,7.17,7.12,7.09
"Brantford, Ontario (8)",Driving while prohibited,27.57,26.66,23.65,19.23,19.13
"Brantford, Ontario (8)",Other Criminal Code traffic violations,0.73,0.72,0.72,1.42,0
"Brantford, Ontario (8)",Causing death by criminal negligence while street racing,,,0,0,0
"Brantford, Ontario (8)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Brantford, Ontario (8)",Dangerous operation causing death while street racing,,,0,0,0
"Brantford, Ontario (8)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Brantford, Ontario (8)",Dangerous operation of motor vehicle while street racing,0,0.72,0,0,0
"Brantford, Ontario (8)",Total Federal Statute violations,402.63,393.43,473.66,457.34,437.19
"Brantford, Ontario (8)",Total drug violations,308.32,296.87,346.11,346.21,328.78
"Brantford, Ontario (8)","Possession, cannabis",142.92,147.72,156.93,179.52,172.18
"Brantford, Ontario (8)","Possession, cocaine",27.57,26.66,20.06,29.21,20.55
"Brantford, Ontario (8)","Total, possession, other Controlled Drugs and Substances Act drugs",24.67,24.5,25.08,32.77,34.01
"Brantford, Ontario (8)","Heroin, possession",0,0,0,0,0
"Brantford, Ontario (8)","Other Controlled Drugs and Substances Act, possession",24.67,20.9,25.08,30.63,32.59
"Brantford, Ontario (8)","Methamphetamines (crystal meth), possession",0,1.44,0,2.14,1.42
"Brantford, Ontario (8)","Methylenedioxyamphetamine (ecstasy), possession",0,2.16,0,0,0
"Brantford, Ontario (8)","Total cannabis, trafficking, production or distribution",36.27,47.56,86.71,41.32,59.52
"Brantford, Ontario (8)","Cannabis, trafficking",23.94,32.43,60.19,24.22,34.72
"Brantford, Ontario (8)","Cannabis, importation and exportation",8.71,10.81,1.43,0.71,0
"Brantford, Ontario (8)","Cannabis, production",3.63,4.32,25.08,16.38,24.8
"Brantford, Ontario (8)","Total cocaine, trafficking, production or distribution",53.68,29.54,40.13,39.18,24.8
"Brantford, Ontario (8)","Cocaine, trafficking",53.68,29.54,39.41,39.18,24.8
"Brantford, Ontario (8)","Cocaine, importation and exportation",,,0,0,0
"Brantford, Ontario (8)","Cocaine, production",,,0.72,0,0
"Brantford, Ontario (8)","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",23.21,20.9,17.2,24.22,17.71
"Brantford, Ontario (8)","Heroin, trafficking",,,0,0,0
"Brantford, Ontario (8)","Other Controlled Drugs and Substances Act, trafficking",22.49,10.09,12.9,20.66,15.59
"Brantford, Ontario (8)","Methamphetamines (crystal meth), trafficking",0,0,0.72,1.42,0.71
"Brantford, Ontario (8)","Methylenedioxyamphetamine (ecstasy), trafficking",0,0.72,0,0,0
"Brantford, Ontario (8)","Heroin, importation and exportation",,,0,0,0
"Brantford, Ontario (8)","Other Controlled Drugs and Substances Act, importation and exportation",0.73,2.16,0.72,0.71,0
"Brantford, Ontario (8)","Methamphetamines (crystal meth), importation and exportation",,,0,0,0
"Brantford, Ontario (8)","Methylenedioxyamphetamine (ecstasy), importation and exportation",,,0,0,0
"Brantford, Ontario (8)","Heroin, production",,,0,0,0
"Brantford, Ontario (8)","Other Controlled Drugs and Substances Act, production",0,7.93,2.87,1.42,1.42
"Brantford, Ontario (8)","Methamphetamines (crystal meth), production",,,0,0,0
"Brantford, Ontario (8)","Methylenedioxyamphetamine (ecstasy), production",,,0,0,0
"Brantford, Ontario (8)","Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0,0
"Brantford, Ontario (8)",Youth Criminal Justice Act,74.72,67.73,86.71,86.91,82.9
"Brantford, Ontario (8)",Total other Federal Statutes,19.59,28.82,40.84,24.22,25.51
"Brantford, Ontario (8)",Bankruptcy Act,0.73,0,0,0,0
"Brantford, Ontario (8)",Income Tax Act,0,0,0,0,0
"Brantford, Ontario (8)",Canada Shipping Act,,,0,0,0
"Brantford, Ontario (8)",Canada Health Act,0,0,0,0,0
"Brantford, Ontario (8)",Customs Act,0,0,0,0,0
"Brantford, Ontario (8)",Competition Act,0,0,0,0,0
"Brantford, Ontario (8)",Excise Act,5.08,5.04,20.06,4.99,6.38
"Brantford, Ontario (8)",Total Immigration and Refugee Protection Act (46),0,0,0,0,1.42
"Brantford, Ontario (8)",Firearms Act,0,0,0.72,0.71,0
"Brantford, Ontario (8)",National Defense Act,,,0,0,0
"Brantford, Ontario (8)",Other federal statutes,13.78,23.78,20.06,18.52,17.71
"Guelph, Ontario (8)","Total, all violations",5256.04,5363.38,4724.02,4410.84,4549.53
"Guelph, Ontario (8)","Total, all Criminal Code violations (including traffic)",5013.4,5129.41,4420.54,4146.24,4261.5
"Guelph, Ontario (8)","Total, all Criminal Code violations (excluding traffic)",4821.59,4940.94,4246.32,3957.12,4083.64
"Guelph, Ontario (8)",Total violent Criminal Code violations (16),806.6,791.27,847.82,814.47,875.12
"Guelph, Ontario (8)","Homicide (17,24)",0,0.81,0,0.79,0
"Guelph, Ontario (8)",Total other violations causing death,0,0,0,0,0
"Guelph, Ontario (8)",Attempted murder,1.64,0,0,0.79,0
"Guelph, Ontario (8)","Sexual assault, level 3, aggravated",,,0,0.79,0.79
"Guelph, Ontario (8)","Sexual assault, level 2, weapon or bodily harm",0,0,0.8,0,0.79
"Guelph, Ontario (8)","Sexual assault, level 1",56.56,50.37,50.58,74.69,77.12
"Guelph, Ontario (8)",Total sexual violations against children (26),0,2.44,1.61,11.92,14.95
"Guelph, Ontario (8)","Assault, level 3, aggravated",3.28,4.87,3.21,7.15,8.66
"Guelph, Ontario (8)","Assault, level 2, weapon or bodily harm",90.17,90.99,107.58,92.97,62.17
"Guelph, Ontario (8)","Assault, level 1",384.45,355.83,395.81,348.83,343.91
"Guelph, Ontario (8)","Total assaults against a peace officer (25,35)",30.33,26,25.69,26.22,15.74
"Guelph, Ontario (8)",Total other assaults,8.2,11.37,8.83,8.74,9.44
"Guelph, Ontario (8)","Total firearms; use of, discharge, pointing",0,0.81,3.21,3.97,4.72
"Guelph, Ontario (8)",Total robbery (18),33.61,49.56,35.33,27.02,40.92
"Guelph, Ontario (8)",Total forcible confinement or kidnapping (34),9.84,10.56,9.63,3.18,10.23
"Guelph, Ontario (8)",Total abduction,0.82,0,0,0,0.79
"Guelph, Ontario (8)",Extortion,1.64,1.62,9.63,15.1,3.15
"Guelph, Ontario (8)",Criminal harassment (36),53.28,57.68,61.82,54.83,103.88
"Guelph, Ontario (8)",Uttering threats,54.92,95.05,115.61,112.04,139.3
"Guelph, Ontario (8)",Threatening or harassing phone calls,73.77,28.43,15.25,24.63,29.12
"Guelph, Ontario (8)",Total other violent violations,4.1,4.87,3.21,0.79,9.44
"Guelph, Ontario (8)",Total property crime violations,3527.25,3651.68,2861.39,2650,2724.53
"Guelph, Ontario (8)",Total breaking and entering,476.26,437.88,355.67,303.54,332.89
"Guelph, Ontario (8)","Total possession of stolen property (42,46)",41.81,41.43,39.34,23.84,20.46
"Guelph, Ontario (8)","Total trafficking in stolen property (42,43,46)",0,0,0,0,0
"Guelph, Ontario (8)",Total theft of motor vehicle (46),166.4,138.92,86.71,106.48,81.85
"Guelph, Ontario (8)","Total theft over $5,000 (non-motor vehicle)",14.75,13.81,15.25,16.69,9.44
"Guelph, Ontario (8)","Total theft under $5,000 (non-motor vehicle)",1752.56,1853.06,1238.81,1207,1337.87
"Guelph, Ontario (8)",Fraud (30),218.87,229.91,223.19,146.21,195.17
"Guelph, Ontario (8)",Identity theft (30),0,0,0,14.3,10.23
"Guelph, Ontario (8)",Identity fraud (30),,,0,19.87,28.33
"Guelph, Ontario (8)",Total mischief,823.82,908.25,870.3,781.09,677.59
"Guelph, Ontario (8)",Arson,32.79,28.43,32.11,30.99,30.69
"Guelph, Ontario (8)","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
"Guelph, Ontario (8)",Total other Criminal Code violations,487.73,497.99,537.11,492.65,483.99
"Guelph, Ontario (8)",Counterfeiting (19),6.56,0.81,1.61,0,0.79
"Guelph, Ontario (8)",Total weapons violations,38.53,25.18,41.75,37.35,33.05
"Guelph, Ontario (8)","Child pornography (27,50,52)",4.92,4.06,7.23,2.38,7.08
"Guelph, Ontario (8)",Total prostitution,1.64,0.81,2.41,0.79,0.79
"Guelph, Ontario (8)",Disturb the peace (21),9.84,8.12,15.25,10.33,11.8
"Guelph, Ontario (8)",Total administration of justice violations,355.76,387.51,405.44,371.08,360.44
"Guelph, Ontario (8)",Total other violations,70.5,71.49,63.43,70.72,70.04
"Guelph, Ontario (8)",Total Criminal Code traffic violations,191.81,188.47,174.22,189.12,177.86
"Guelph, Ontario (8)",Total impaired driving (49),166.4,157.6,144.51,156.54,147.17
"Guelph, Ontario (8)","Impaired operation, causing death",,,0,0,0
"Guelph, Ontario (8)","Impaired operation (drugs), causing death",,,0,0,0
"Guelph, Ontario (8)","Impaired operation, causing bodily harm",0,0,0,1.59,0.79
"Guelph, Ontario (8)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Guelph, Ontario (8)","Impaired operation of motor vehicle, vessel or aircraft (51)",156.57,151.92,139.7,142.23,137.72
"Guelph, Ontario (8)","Impaired operation (drugs) vehicle, vessel, aircraft",,,0,0,0.79
"Guelph, Ontario (8)","Impaired operation, failure to provide breath sample",9.84,5.69,4.82,12.71,7.87
"Guelph, Ontario (8)",Failure to comply or refusal (drugs),,,0,0,0
"Guelph, Ontario (8)","Impaired operation, failure to provide blood sample",,,0,0,0
"Guelph, Ontario (8)",Failure to provide blood sample (drugs),,,0,0,0
"Guelph, Ontario (8)",Total other Criminal Code traffic violations,25.41,30.87,29.71,32.58,30.69
"Guelph, Ontario (8)","Dangerous operation, causing death",,,0,0,0
"Guelph, Ontario (8)","Dangerous operation, causing bodily harm",0,0.81,2.41,0.79,3.15
"Guelph, Ontario (8)","Dangerous operation of motor vehicle, vessel or aircraft",5.74,9.75,11.24,11.92,17.31
"Guelph, Ontario (8)","Dangerous operation evading police, causing death",,,0,0,0
"Guelph, Ontario (8)","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Guelph, Ontario (8)",Dangerous operation of motor vehicle evading police,1.64,0.81,1.61,0,0.79
"Guelph, Ontario (8)",Total fail to stop or remain (46),3.28,3.25,4.82,3.97,2.36
"Guelph, Ontario (8)",Driving while prohibited,14.75,16.25,9.63,15.89,7.08
"Guelph, Ontario (8)",Other Criminal Code traffic violations,,,0,0,0
"Guelph, Ontario (8)",Causing death by criminal negligence while street racing,,,0,0,0
"Guelph, Ontario (8)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Guelph, Ontario (8)",Dangerous operation causing death while street racing,,,0,0,0
"Guelph, Ontario (8)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Guelph, Ontario (8)",Dangerous operation of motor vehicle while street racing,,,0,0,0
"Guelph, Ontario (8)",Total Federal Statute violations,242.64,233.97,303.48,264.6,288.03
"Guelph, Ontario (8)",Total drug violations,200.01,182.79,243.27,211.36,254.19
"Guelph, Ontario (8)","Possession, cannabis",118.04,95.05,137.29,143.03,189.66
"Guelph, Ontario (8)","Possession, cocaine",26.23,17.06,12.85,11.12,13.38
"Guelph, Ontario (8)","Total, possession, other Controlled Drugs and Substances Act drugs",13.94,10.56,17.66,7.95,14.95
"Guelph, Ontario (8)","Heroin, possession",1.64,1.62,2.41,0.79,0.79
"Guelph, Ontario (8)","Other Controlled Drugs and Substances Act, possession",12.3,8.94,13.65,6.36,11.02
"Guelph, Ontario (8)","Methamphetamines (crystal meth), possession",,,0.8,0.79,3.15
"Guelph, Ontario (8)","Methylenedioxyamphetamine (ecstasy), possession",,,0.8,0,0
"Guelph, Ontario (8)","Total cannabis, trafficking, production or distribution",17.21,23.56,34.52,27.02,15.74
"Guelph, Ontario (8)","Cannabis, trafficking",12.3,21.93,23.28,21.45,13.38
"Guelph, Ontario (8)","Cannabis, importation and exportation",4.92,1.62,0,0,0
"Guelph, Ontario (8)","Cannabis, production",,,11.24,5.56,2.36
"Guelph, Ontario (8)","Total cocaine, trafficking, production or distribution",23.77,29.25,28.1,15.89,11.02
"Guelph, Ontario (8)","Cocaine, trafficking",23.77,29.25,28.1,15.89,11.02
"Guelph, Ontario (8)","Cocaine, importation and exportation",,,0,0,0
"Guelph, Ontario (8)","Cocaine, production",,,0,0,0
"Guelph, Ontario (8)","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0.82,7.31,12.85,6.36,9.44
"Guelph, Ontario (8)","Heroin, trafficking",0.82,0,0.8,0,1.57
"Guelph, Ontario (8)","Other Controlled Drugs and Substances Act, trafficking",0,5.69,10.44,4.77,6.3
"Guelph, Ontario (8)","Methamphetamines (crystal meth), trafficking",,,0,1.59,0.79
"Guelph, Ontario (8)","Methylenedioxyamphetamine (ecstasy), trafficking",,,0.8,0,0.79
"Guelph, Ontario (8)","Heroin, importation and exportation",,,0,0,0
"Guelph, Ontario (8)","Other Controlled Drugs and Substances Act, importation and exportation",0,0.81,0,0,0
"Guelph, Ontario (8)","Methamphetamines (crystal meth), importation and exportation",,,0,0,0
"Guelph, Ontario (8)","Methylenedioxyamphetamine (ecstasy), importation and exportation",,,0,0,0
"Guelph, Ontario (8)","Heroin, production",,,0,0,0
"Guelph, Ontario (8)","Other Controlled Drugs and Substances Act, production",0,0.81,0,0,0
"Guelph, Ontario (8)","Methamphetamines (crystal meth), production",,,0.8,0,0
"Guelph, Ontario (8)","Methylenedioxyamphetamine (ecstasy), production",,,0,0,0
"Guelph, Ontario (8)","Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0,0
"Guelph, Ontario (8)",Youth Criminal Justice Act,41.81,51.18,57,50.85,33.84
"Guelph, Ontario (8)",Total other Federal Statutes,0.82,0,3.21,2.38,0
"Guelph, Ontario (8)",Bankruptcy Act,0,0,0,0,0
"Guelph, Ontario (8)",Income Tax Act,0,0,0,0,0
"Guelph, Ontario (8)",Canada Shipping Act,,,0,0,0
"Guelph, Ontario (8)",Canada Health Act,0,0,0,0,0
"Guelph, Ontario (8)",Customs Act,,,0,0,0
"Guelph, Ontario (8)",Competition Act,0,0,0,0,0
"Guelph, Ontario (8)",Excise Act,0.82,0,1.61,1.59,0
"Guelph, Ontario (8)",Total Immigration and Refugee Protection Act (46),,,0,0,0
"Guelph, Ontario (8)",Firearms Act,,,0,0,0
"Guelph, Ontario (8)",National Defense Act,,,0,0,0
"Guelph, Ontario (8)",Other federal statutes,0,0,1.61,0.79,0
"London, Ontario","Total, all violations",7477.31,7410.21,6773.49,6361.33,6228.7
"London, Ontario","Total, all Criminal Code violations (including traffic)",7175.93,7142.51,6509.27,6088.15,5931.12
"London, Ontario","Total, all Criminal Code violations (excluding traffic)",6863.67,6826.45,6224.63,5802.92,5638.71
"London, Ontario",Total violent Criminal Code violations (16),983.43,958.39,1011.8,953.15,889.56
"London, Ontario","Homicide (17,24)",0.41,0.61,1.82,1.81,1.59
"London, Ontario",Total other violations causing death,0,0,0,0.4,0.6
"London, Ontario",Attempted murder,1.23,0.41,0.81,0.4,2.59
"London, Ontario","Sexual assault, level 3, aggravated",0,0.2,0.4,0.8,0
"London, Ontario","Sexual assault, level 2, weapon or bodily harm",0.41,0.82,1.21,1.81,1.19
"London, Ontario","Sexual assault, level 1",46.22,53.26,57.01,50.35,53.35
"London, Ontario",Total sexual violations against children (26),3.49,4.69,8.89,11.23,11.54
"London, Ontario","Assault, level 3, aggravated",8.22,8.37,7.68,5.82,7.36
"London, Ontario","Assault, level 2, weapon or bodily harm",112.37,109.98,113.81,99.29,93.16
"London, Ontario","Assault, level 1",455.25,446.24,425.95,406.37,387.35
"London, Ontario","Total assaults against a peace officer (25,35)",27.73,28.36,30.53,26.88,26.87
"London, Ontario",Total other assaults,2.47,4.69,2.63,3.21,2.39
"London, Ontario","Total firearms; use of, discharge, pointing",3.29,2.04,2.22,2.41,1.19
"London, Ontario",Total robbery (18),72.93,84.07,81.47,78.83,63.3
"London, Ontario",Total forcible confinement or kidnapping (34),12.12,13.06,15.16,13.04,9.75
"London, Ontario",Total abduction,0.82,0.61,0.81,0.6,1.39
"London, Ontario",Extortion,2.88,2.65,4.04,2.01,1.59
"London, Ontario",Criminal harassment (36),41.91,41.62,65.09,53.75,51.36
"London, Ontario",Uttering threats,134.36,118.96,134.64,122.55,107.89
"London, Ontario",Threatening or harassing phone calls,44.99,32.44,49.33,52.95,54.34
"London, Ontario",Total other violent violations,12.33,5.31,8.29,18.65,10.75
"London, Ontario",Total property crime violations,4767.38,4875.8,4168.49,3810.78,3619.74
"London, Ontario",Total breaking and entering,593.3,657.22,587.67,657.29,588.79
"London, Ontario","Total possession of stolen property (42,46)",76.22,74.27,71.77,57.97,46.98
"London, Ontario","Total trafficking in stolen property (42,43,46)",0,0,0,0,0
"London, Ontario",Total theft of motor vehicle (46),351.09,302.19,238.55,208.8,210.99
"London, Ontario","Total theft over $5,000 (non-motor vehicle)",54.24,56.93,53.57,49.74,52.15
"London, Ontario","Total theft under $5,000 (non-motor vehicle)",2423.75,2437.29,2067.87,1878.01,1850.18
"London, Ontario",Fraud (30),306.51,319.33,380.86,261.15,224.53
"London, Ontario",Identity theft (30),0,0,4.25,3.61,5.77
"London, Ontario",Identity fraud (30),,,13.75,13.24,12.34
"London, Ontario",Total mischief,934.74,998.79,731.61,660.9,601.73
"London, Ontario",Arson,27.53,29.79,18.6,20.06,26.27
"London, Ontario","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
"London, Ontario",Total other Criminal Code violations,1112.86,992.26,1044.35,1038.99,1129.41
"London, Ontario",Counterfeiting (19),6.37,3.06,2.22,2.41,5.37
"London, Ontario",Total weapons violations,36.77,45.3,46.9,48.54,56.53
"London, Ontario","Child pornography (27,50,52)",4.73,6.53,5.26,5.62,4.98
"London, Ontario",Total prostitution,14.18,16.12,15.97,23.47,15.73
"London, Ontario",Disturb the peace (21),67.18,62.03,76.62,85.65,89.17
"London, Ontario",Total administration of justice violations,890.57,768.22,809.44,772.63,857.71
"London, Ontario",Total other violations,93.06,91,87.94,100.69,99.92
"London, Ontario",Total Criminal Code traffic violations,312.27,316.06,284.64,285.22,292.41
"London, Ontario",Total impaired driving (49),121.21,115.28,101.89,89.66,97.53
"London, Ontario","Impaired operation, causing death",0.21,0.41,0.2,0.6,0.2
"London, Ontario","Impaired operation (drugs), causing death",,,0,0,0
"London, Ontario","Impaired operation, causing bodily harm",1.03,1.22,0.61,0.8,0.6
"London, Ontario","Impaired operation (drugs), causing bodily harm",,,0,0,0
"London, Ontario","Impaired operation of motor vehicle, vessel or aircraft (51)",116.07,106.1,93.8,80.63,88.18
"London, Ontario","Impaired operation (drugs) vehicle, vessel, aircraft",0.21,1.02,2.63,2.81,2.99
"London, Ontario","Impaired operation, failure to provide breath sample",3.7,6.53,4.45,4.41,5.37
"London, Ontario",Failure to comply or refusal (drugs),,,0,0.4,0.2
"London, Ontario","Impaired operation, failure to provide blood sample",0,0,0.2,0,0
"London, Ontario",Failure to provide blood sample (drugs),,,0,0,0
"London, Ontario",Total other Criminal Code traffic violations,191.06,200.78,182.75,195.56,194.87
"London, Ontario","Dangerous operation, causing death",0.21,0,0,0,0
"London, Ontario","Dangerous operation, causing bodily harm",0.62,0.41,0,1,1.79
"London, Ontario","Dangerous operation of motor vehicle, vessel or aircraft",18.49,13.67,12.74,13.44,12.34
"London, Ontario","Dangerous operation evading police, causing death",0,0,0,0,0
"London, Ontario","Dangerous operation evading police, causing bodily harm",0.41,0.2,0,0.2,0
"London, Ontario",Dangerous operation of motor vehicle evading police,7.19,3.88,3.84,4.61,3.58
"London, Ontario",Total fail to stop or remain (46),146.89,165.48,146.97,158.86,161.23
"London, Ontario",Driving while prohibited,16.85,16.94,18.6,17.45,15.73
"London, Ontario",Other Criminal Code traffic violations,0.41,0.2,0.61,0,0.2
"London, Ontario",Causing death by criminal negligence while street racing,,,0,0,0
"London, Ontario",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"London, Ontario",Dangerous operation causing death while street racing,,,0,0,0
"London, Ontario",Dangerous operation causing bodily harm while street racing,,,0,0,0
"London, Ontario",Dangerous operation of motor vehicle while street racing,,,0,0,0
"London, Ontario",Total Federal Statute violations,301.38,267.7,264.22,273.19,297.58
"London, Ontario",Total drug violations,268.51,234.24,220.15,235.68,264.14
"London, Ontario","Possession, cannabis",126.34,109.16,97.44,113.33,126.8
"London, Ontario","Possession, cocaine",34.1,18.16,17.59,18.65,19.51
"London, Ontario","Total, possession, other Controlled Drugs and Substances Act drugs",48.69,43.46,43.87,50.75,55.93
"London, Ontario","Heroin, possession",0.41,0.2,0.2,0,0.2
"London, Ontario","Other Controlled Drugs and Substances Act, possession",46.22,39.99,40.43,43.73,46.18
"London, Ontario","Methamphetamines (crystal meth), possession",1.44,2.04,1.82,5.42,8.76
"London, Ontario","Methylenedioxyamphetamine (ecstasy), possession",0.62,1.22,1.42,1.6,0.8
"London, Ontario","Total cannabis, trafficking, production or distribution",29.99,29.99,28.5,24.87,28.66
"London, Ontario","Cannabis, trafficking",14.18,13.67,11.52,14.64,14.53
"London, Ontario","Cannabis, importation and exportation",1.03,2.04,2.63,0,0.2
"London, Ontario","Cannabis, production",14.79,14.28,14.35,10.23,13.93
"London, Ontario","Total cocaine, trafficking, production or distribution",14.18,11.43,16.17,10.83,16.32
"London, Ontario","Cocaine, trafficking",13.56,11.22,15.77,10.23,16.12
"London, Ontario","Cocaine, importation and exportation",0.62,0.2,0.4,0.4,0.2
"London, Ontario","Cocaine, production",,,0,0.2,0
"London, Ontario","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",15.2,22.04,16.58,17.05,16.52
"London, Ontario","Heroin, trafficking",0.21,0,0,0,0
"London, Ontario","Other Controlled Drugs and Substances Act, trafficking",12.12,15.92,12.33,13.44,10.55
"London, Ontario","Methamphetamines (crystal meth), trafficking",0.21,0.2,1.21,0.6,1.59
"London, Ontario","Methylenedioxyamphetamine (ecstasy), trafficking",0.21,2.04,0,0.2,0.2
"London, Ontario","Heroin, importation and exportation",0,0,0,0,1
"London, Ontario","Other Controlled Drugs and Substances Act, importation and exportation",0.82,0.82,0,0.2,0.6
"London, Ontario","Methamphetamines (crystal meth), importation and exportation",0,0,0,0,0
"London, Ontario","Methylenedioxyamphetamine (ecstasy), importation and exportation",,,0,0,0
"London, Ontario","Heroin, production",,,0,0,0
"London, Ontario","Other Controlled Drugs and Substances Act, production",1.64,2.86,2.83,2.41,2.19
"London, Ontario","Methamphetamines (crystal meth), production",0,0.2,0.2,0.2,0.4
"London, Ontario","Methylenedioxyamphetamine (ecstasy), production",,,0,0,0
"London, Ontario","Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0.2,0.4
"London, Ontario",Youth Criminal Justice Act,21.98,22.65,31.33,17.25,15.53
"London, Ontario",Total other Federal Statutes,10.89,10.81,12.74,20.26,17.91
"London, Ontario",Bankruptcy Act,0,0,0.4,0,0.2
"London, Ontario",Income Tax Act,0,0.2,0,0,0.2
"London, Ontario",Canada Shipping Act,0,0,0,0,0
"London, Ontario",Canada Health Act,0,0,0,0,0
"London, Ontario",Customs Act,0.21,0.2,0.2,0.2,0.2
"London, Ontario",Competition Act,0,0,0,0,0
"London, Ontario",Excise Act,4.31,6.73,5.26,8.62,5.77
"London, Ontario",Total Immigration and Refugee Protection Act (46),1.23,0,2.02,2.81,1.59
"London, Ontario",Firearms Act,2.47,1.43,1.62,1.4,1.99
"London, Ontario",National Defense Act,0,0,0,0,0
"London, Ontario",Other federal statutes,2.67,2.24,3.23,7.22,7.96
"Windsor, Ontario","Total, all violations",5855.16,5706.92,5478.42,5069.17,5181.04
"Windsor, Ontario","Total, all Criminal Code violations (including traffic)",5547.13,5393.41,5238.44,4816.81,4939.83
"Windsor, Ontario","Total, all Criminal Code violations (excluding traffic)",5340.78,5168.18,5014.48,4606.12,4767.68
"Windsor, Ontario",Total violent Criminal Code violations (16),999.87,1022.15,987.42,909.51,970.24
"Windsor, Ontario","Homicide (17,24)",2.11,1.51,0,0.3,0.9
"Windsor, Ontario",Total other violations causing death,0,0,0,0.3,0
"Windsor, Ontario",Attempted murder,2.71,4.23,0.91,0,1.51
"Windsor, Ontario","Sexual assault, level 3, aggravated",0.6,0.3,1.21,0,0
"Windsor, Ontario","Sexual assault, level 2, weapon or bodily harm",1.5,1.51,0.91,1.21,0.9
"Windsor, Ontario","Sexual assault, level 1",50.84,59.25,57.73,58.26,57.89
"Windsor, Ontario",Total sexual violations against children (26),2.71,4.84,5.74,6.94,6.93
"Windsor, Ontario","Assault, level 3, aggravated",5.72,4.53,7.25,7.55,11.46
"Windsor, Ontario","Assault, level 2, weapon or bodily harm",103.48,94.02,101.25,83.92,101.61
"Windsor, Ontario","Assault, level 1",318.25,363.69,326.42,326.61,344.32
"Windsor, Ontario","Total assaults against a peace officer (25,35)",36.7,35.07,43.52,30.19,18.39
"Windsor, Ontario",Total other assaults,7.22,10.58,10.58,11.17,11.76
"Windsor, Ontario","Total firearms; use of, discharge, pointing",0.6,0.91,0.91,4.83,1.21
"Windsor, Ontario",Total robbery (18),83.32,76.18,75.86,69.13,70.85
"Windsor, Ontario",Total forcible confinement or kidnapping (34),13.24,10.58,12.69,8.45,9.65
"Windsor, Ontario",Total abduction,2.11,0.91,0.91,1.51,0.9
"Windsor, Ontario",Extortion,4.21,1.51,2.72,1.21,2.11
"Windsor, Ontario",Criminal harassment (36),56.85,61.98,71.03,53.43,69.35
"Windsor, Ontario",Uttering threats,200.34,182,175.6,182.02,190.55
"Windsor, Ontario",Threatening or harassing phone calls,103.48,105.21,87.95,58.86,65.43
"Windsor, Ontario",Total other violent violations,3.91,3.33,4.23,3.62,4.52
"Windsor, Ontario",Total property crime violations,3584.38,3530.2,3412.3,3085.64,3244.78
"Windsor, Ontario",Total breaking and entering,578.15,512.74,470.29,481.77,505.62
"Windsor, Ontario","Total possession of stolen property (42,46)",69.19,66.21,54.1,55.54,29.85
"Windsor, Ontario","Total trafficking in stolen property (42,43,46)",0,0,0,0,0
"Windsor, Ontario",Total theft of motor vehicle (46),197.63,176.86,159.58,142.18,185.42
"Windsor, Ontario","Total theft over $5,000 (non-motor vehicle)",26.47,25.7,22.97,24.15,36.78
"Windsor, Ontario","Total theft under $5,000 (non-motor vehicle)",1614.72,1668.21,1800.15,1557.61,1598.57
"Windsor, Ontario",Fraud (30),246.96,248.21,244.21,208.59,227.64
"Windsor, Ontario",Identity theft (30),0,0,1.21,2.41,1.51
"Windsor, Ontario",Identity fraud (30),,,11.49,6.34,5.73
"Windsor, Ontario",Total mischief,831.12,813.85,632.29,589.84,631.95
"Windsor, Ontario",Arson,20.15,18.44,16.02,17.21,21.71
"Windsor, Ontario","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
"Windsor, Ontario",Total other Criminal Code violations,756.52,615.83,614.76,610.97,552.66
"Windsor, Ontario",Counterfeiting (19),1.8,1.81,1.51,1.51,0.3
"Windsor, Ontario",Total weapons violations,25.27,18.74,17.23,21.43,23.82
