"REF_DATE","GEO","DGUID","Homicides","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1964","Canada","2016A000011124","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540423","1.2","1.31","","","","2"
"1964","Canada","2016A000011124","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400180","1.3","-0.69","","","","2"
"1964","Canada","2016A000011124","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400181","1.4","","..","","","2"
"1964","Newfoundland and Labrador","2016A000210","Number of homicide victims","Number","223","units","0","v1540424","2.1","5","","","","0"
"1964","Newfoundland and Labrador","2016A000210","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540425","2.2","1.04","","","","2"
"1964","Newfoundland and Labrador","2016A000210","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400182","2.3","64.34","","","","2"
"1964","Newfoundland and Labrador","2016A000210","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400183","2.4","","..","","","2"
"1964","Prince Edward Island","2016A000211","Number of homicide victims","Number","223","units","0","v1540426","3.1","0","","","","0"
"1964","Prince Edward Island","2016A000211","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540427","3.2","0.00","","","","2"
"1964","Prince Edward Island","2016A000211","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400184","3.3","","..","","","2"
"1964","Prince Edward Island","2016A000211","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400185","3.4","","..","","","2"
"1964","Nova Scotia","2016A000212","Number of homicide victims","Number","223","units","0","v1540428","4.1","13","","","","0"
"1964","Nova Scotia","2016A000212","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540429","4.2","1.72","","","","2"
"1964","Nova Scotia","2016A000212","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400186","4.3","115.43","","","","2"
"1964","Nova Scotia","2016A000212","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400187","4.4","","..","","","2"
"1964","New Brunswick","2016A000213","Number of homicide victims","Number","223","units","0","v1540430","5.1","5","","","","0"
"1964","New Brunswick","2016A000213","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540431","5.2","0.82","","","","2"
"1964","New Brunswick","2016A000213","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400188","5.3","-0.40","","","","2"
"1964","New Brunswick","2016A000213","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400189","5.4","","..","","","2"
"1964","Quebec","2016A000224","Number of homicide victims","Number","223","units","0","v1540432","6.1","52","","","","0"
"1964","Quebec","2016A000224","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540433","6.2","0.93","","","","2"
"1964","Quebec","2016A000224","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400190","6.3","-26.03","","","","2"
"1964","Quebec","2016A000224","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400191","6.4","","..","","","2"
"1964","Ontario","2016A000235","Number of homicide victims","Number","223","units","0","v1540434","7.1","81","","","","0"
"1964","Ontario","2016A000235","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540435","7.2","1.22","","","","2"
"1964","Ontario","2016A000235","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400192","7.3","4.17","","","","2"
"1964","Ontario","2016A000235","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400193","7.4","","..","","","2"
"1964","Manitoba","2016A000246","Number of homicide victims","Number","223","units","0","v1540436","8.1","16","","","","0"
"1964","Manitoba","2016A000246","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540437","8.2","1.67","","","","2"
"1964","Manitoba","2016A000246","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400194","8.3","-1.07","","","","2"
"1964","Manitoba","2016A000246","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400195","8.4","","..","","","2"
"1964","Saskatchewan","2016A000247","Number of homicide victims","Number","223","units","0","v1540438","9.1","20","","","","0"
"1964","Saskatchewan","2016A000247","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540439","9.2","2.12","","","","2"
"1964","Saskatchewan","2016A000247","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400196","9.3","147.65","","","","2"
"1964","Saskatchewan","2016A000247","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400197","9.4","","..","","","2"
"1964","Alberta","2016A000248","Number of homicide victims","Number","223","units","0","v1540440","10.1","25","","","","0"
"1964","Alberta","2016A000248","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540441","10.2","1.75","","","","2"
"1964","Alberta","2016A000248","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400198","10.3","-9.12","","","","2"
"1964","Alberta","2016A000248","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400199","10.4","","..","","","2"
"1964","British Columbia","2016A000259","Number of homicide victims","Number","223","units","0","v1540442","11.1","32","","","","0"
