"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v69380259","200.1.8","1339.71","","","","2"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v69380259","200.1.8","1326.63","","","","2"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v69380259","200.1.8","1248.04","","","","2"
"2019","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v69380259","200.1.8","1260.12","","","","2"
"2020","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v69380259","200.1.8","1013.54","","","","2"
"2021","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v69380259","200.1.8","1012.64","","","","2"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v69380259","200.1.8","1057.44","","","","2"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v69380259","200.1.8","1201.07","","","","2"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, adult charged","Number","223","units","0","v69380260","200.1.9","30339","","","","0"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, adult charged","Number","223","units","0","v69380260","200.1.9","30782","","","","0"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, adult charged","Number","223","units","0","v69380260","200.1.9","30890","","","","0"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, adult charged","Number","223","units","0","v69380260","200.1.9","30000","","","","0"
"2019","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, adult charged","Number","223","units","0","v69380260","200.1.9","30833","","","","0"
"2020","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, adult charged","Number","223","units","0","v69380260","200.1.9","25470","","","","0"
"2021","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, adult charged","Number","223","units","0","v69380260","200.1.9","25336","","","","0"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, adult charged","Number","223","units","0","v69380260","200.1.9","26976","","","","0"
