,,,"Fredericton, City [Census subdivision], New Brunswick",,,,,,"New Brunswick [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Humanities",,    1585,,     595,,     985,,    8810,,    3450,,    5360,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    16. Aboriginal and foreign languages; literatures and linguistics",,     160,,      50,,     110,,     820,,     195,,     625,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    23. English language and literature/letters",,     415,,     105,,     310,,    1725,,     490,,    1235,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    24. Liberal arts and sciences; general studies and humanities",,     390,,     125,,     270,,    2125,,     650,,    1475,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30A Interdisciplinary humanities",153,      10,,       0,,       0,,      35,,      10,,      30,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    38. Philosophy and religious studies",,     125,,      65,,      55,,     500,,     295,,     215,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    39. Theology and religious vocations",,     150,,      90,,      60,,    1460,,     860,,     595,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    54. History",,     270,,     140,,     130,,    1630,,     855,,     775,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    55. French language and literature/letters",,      70,,      15,,      50,,     520,,     100,,     420,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Social and behavioural sciences and law",,    2830,,     945,,    1885,,   18970,,    5210,,   13760,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    05. Area; ethnic; cultural; gender; and group studies",,      20,,      10,,      20,,     135,,      20,,     115,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    09. Communication; journalism and related programs",,     245,,     120,,     130,,    1500,,     630,,     870,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    19. Family and consumer sciences/human sciences",,     245,,      15,,     225,,    4685,,     235,,    4450,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    22. Legal professions and studies",,     525,,     190,,     340,,    3280,,     940,,    2340,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30B Interdisciplinary social and behavioural sciences",154,      30,,       0,,      25,,     335,,      70,,     260,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    42. Psychology",,     690,,     170,,     520,,    4015,,     980,,    3035,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    45. Social sciences",,    1070,,     440,,     630,,    5015,,    2330,,    2680,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Business; management and public administration",,    4530,,    1650,,    2880,,   52915,,   15055,,   37860,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.16 Accounting and computer science",,      15,,       0,,      15,,     215,,      40,,     175,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    44. Public administration and social service professions",,     425,,      70,,     350,,    4505,,     735,,    3770,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    52. Business; management; marketing and related support services",,    4095,,    1575,,    2520,,   48190,,   14280,,   33915,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Physical and life sciences and technologies",,     960,,     480,,     490,,    5620,,    2710,,    2905,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    26. Biological and biomedical sciences",,     430,,     190,,     240,,    2580,,    1135,,    1445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.01 Biological and physical sciences",,     185,,      80,,     105,,    1275,,     540,,     730,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30C Other interdisciplinary physical and life sciences",155,      20,,       0,,      15,,     110,,      20,,      95,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    40. Physical sciences",,     285,,     180,,     100,,    1185,,     820,,     370,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    41. Science technologies/technicians",,      50,,      20,,      30,,     465,,     195,,     270,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Mathematics; computer and information sciences",,    1485,,    1025,,     465,,    9710,,    6285,,    3425,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    11. Computer and information sciences and support services",,    1330,,     950,,     385,,    8815,,    5910,,    2905,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    25. Library science",,      85,,      20,,      60,,     415,,      70,,     345,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    27. Mathematics and statistics",,      75,,      55,,      25,,     430,,     265,,     170,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30D Interdisciplinary mathematics; computer and information sciences",156,       0,,       0,,       0,,      55,,      50,,       0,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Architecture; engineering; and related technologies",,    3290,,    2955,,     335,,   51150,,   47940,,    3210,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    04. Architecture and related services",,      80,,      60,,      25,,     395,,     270,,     120,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    14. Engineering",,    1345,,    1140,,     210,,    6230,,    5295,,     935,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    15. Engineering technologies and engineering-related fields",,     625,,     555,,      70,,   10405,,    9135,,    1270,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.12 Historic preservation and conservation",,       0,,       0,,       0,,       0,,       0,,       0,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    46. Construction trades",,     570,,     565,,       0,,   13110,,   12825,,     290,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    47. Mechanic and repair technologies/technicians",,     540,,     510,,      30,,   14025,,   13635,,     395,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    48. Precision production",,     130,,     125,,       0,,    6980,,    6770,,     210,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Agriculture; natural resources and conservation",,     400,,     285,,     115,,    5010,,    3575,,    1430,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    01. Agriculture; agriculture operations and related sciences",,     130,,      85,,      45,,    2355,,    1395,,     960,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    03. Natural resources and conservation",,     275,,     200,,      70,,    2655,,    2185,,     470,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Health and related fields",,    2925,,     625,,    2305,,   38135,,    5850,,   32285,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    31. Parks; recreation; leisure and fitness studies",,     330,,     145,,     180,,    2145,,    1060,,    1085,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    51. Health professions and related programs",,    2490,,     415,,    2075,,   35295,,    4385,,   30905,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    60. Dental; medical and veterinary residency programs",,     105,,      60,,      45,,     695,,     405,,     285,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Personal; protective and transportation services",,    1120,,     560,,     555,,   19415,,    9810,,    9600,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    12. Personal and culinary services",,     700,,     190,,     510,,   10520,,    1945,,    8575,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    28. Military science; leadership and operational art",,      10,,      10,,       0,,      95,,      85,,      10,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    29. Military technologies and applied sciences",,      30,,      30,,       0,,     220,,     190,,      35,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    43. Security and protective services",,     260,,     215,,      45,,    3460,,    2760,,     705,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    49. Transportation and materials moving",,     125,,     125,,       0,,    5115,,    4835,,     285,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Other",,       0,,       0,,       0,,      45,,      25,,      20,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.99 Multidisciplinary/interdisciplinary studies; other",,       0,,       0,,       0,,      40,,      25,,      15,
"Location of study compared with province or territory of residence with countries outside Canada","Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data",157,   48335,,   22865,,   25470,,  620390,,  301650,,  318745,
"Location of study compared with province or territory of residence with countries outside Canada","  No postsecondary certificate; diploma or degree",,   18875,,    9305,,    9570,,  313495,,  156945,,  156545,
"Location of study compared with province or territory of residence with countries outside Canada","  Postsecondary certificate; diploma or degree",158,   29465,,   13565,,   15900,,  306900,,  144700,,  162200,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study inside Canada",,   26385,,   11975,,   14410,,  290645,,  136490,,  154155,
"Location of study compared with province or territory of residence with countries outside Canada","      Same as province or territory of residence",,   19955,,    8975,,   10980,,  229835,,  106610,,  123230,
"Location of study compared with province or territory of residence with countries outside Canada","      Different than province or territory of residence",,    6425,,    2995,,    3425,,   60810,,   29880,,   30925,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study outside Canada",159,    3085,,    1590,,    1490,,   16255,,    8205,,    8050,
"Location of study compared with province or territory of residence with countries outside Canada","      United States",160,     735,,     400,,     335,,    5360,,    2675,,    2685,
"Location of study compared with province or territory of residence with countries outside Canada","      Philippines",,      90,,      35,,      55,,     920,,     285,,     635,
"Location of study compared with province or territory of residence with countries outside Canada","      India",,     165,,      80,,      90,,     460,,     230,,     230,
"Location of study compared with province or territory of residence with countries outside Canada","      United Kingdom",161,     375,,     230,,     145,,    1995,,    1175,,     815,
"Location of study compared with province or territory of residence with countries outside Canada","      China",162,     355,,     175,,     175,,    1105,,     550,,     555,
"Location of study compared with province or territory of residence with countries outside Canada","      France",,      60,,      40,,      20,,     660,,     370,,     290,
"Location of study compared with province or territory of residence with countries outside Canada","      Other",,    1305,,     635,,     665,,    5755,,    2920,,    2835,
"Location of study compared with province or territory of residence with countries outside Canada","Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data",157,   30355,,   14440,,   15915,,  400785,,  194715,,  206070,
"Location of study compared with province or territory of residence with countries outside Canada","  No postsecondary certificate; diploma or degree",,    8590,,    4490,,    4095,,  169970,,   88815,,   81155,
"Location of study compared with province or territory of residence with countries outside Canada","  Postsecondary certificate; diploma or degree",158,   21770,,    9945,,   11820,,  230815,,  105895,,  124920,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study inside Canada",,   19375,,    8765,,   10610,,  218710,,  100175,,  118535,
"Location of study compared with province or territory of residence with countries outside Canada","      Same as province or territory of residence",,   14550,,    6535,,    8015,,  172760,,   78520,,   94240,
"Location of study compared with province or territory of residence with countries outside Canada","      Different than province or territory of residence",,    4825,,    2230,,    2595,,   45950,,   21660,,   24295,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study outside Canada",159,    2395,,    1185,,    1210,,   12105,,    5715,,    6380,
"Location of study compared with province or territory of residence with countries outside Canada","      United States",160,     420,,     210,,     215,,    3460,,    1555,,    1905,
"Location of study compared with province or territory of residence with countries outside Canada","      Philippines",,      90,,      35,,      55,,     875,,     260,,     615,
"Location of study compared with province or territory of residence with countries outside Canada","      India",,     105,,      50,,      60,,     345,,     160,,     180,
"Location of study compared with province or territory of residence with countries outside Canada","      United Kingdom",161,     195,,     115,,      85,,    1070,,     575,,     490,
"Location of study compared with province or territory of residence with countries outside Canada","      China",162,     345,,     165,,     170,,    1025,,     475,,     550,
"Location of study compared with province or territory of residence with countries outside Canada","      France",,      60,,      35,,      20,,     525,,     300,,     225,
"Location of study compared with province or territory of residence with countries outside Canada","      Other",,    1175,,     570,,     605,,    4800,,    2390,,    2415,
"Labour force status","Total - Population aged 15 years and over by Labour force status - 25% sample data",163,   48335,,   22865,,   25470,,  620390,,  301650,,  318745,
"Labour force status","  In the labour force",,   31505,,   15725,,   15780,,  381790,,  197005,,  184790,
"Labour force status","    Employed",,   28735,,   14195,,   14540,,  339045,,  170050,,  168995,
"Labour force status","    Unemployed",,    2770,,    1530,,    1240,,   42745,,   26950,,   15795,
"Labour force status","  Not in the labour force",,   16835,,    7145,,    9695,,  238600,,  104645,,  133955,
"Labour force status","Participation rate",, 65.2,, 68.8,, 62.0,, 61.5,, 65.3,, 58.0,
"Labour force status","Employment rate",, 59.4,, 62.1,, 57.1,, 54.7,, 56.4,, 53.0,
"Labour force status","Unemployment rate",,  8.8,,  9.7,,  7.9,, 11.2,, 13.7,,  8.5,
"Work activity during the reference year","Total population aged 15 years and over by work activity during the reference year - 25% sample data",164,   48335,,   22870,,   25470,,  620390,,  301645,,  318745,
"Work activity during the reference year","  Did not work",165,   15495,,    6495,,    8995,,  217930,,   94105,,  123825,
"Work activity during the reference year","  Worked",,   32845,,   16370,,   16475,,  402465,,  207540,,  194920,
"Work activity during the reference year","    Worked full year; full time",166,   17500,,    9215,,    8290,,  201230,,  106785,,   94450,
"Work activity during the reference year","    Worked part year and/or part time",167,   15340,,    7155,,    8185,,  201225,,  100760,,  100475,
"Work activity during the reference year","Average weeks worked in reference year",, 42.8,, 42.8,, 42.7,, 41.0,, 40.6,, 41.5,
"Class of worker","Total labour force aged 15 years and over by class of worker - 25% sample data",168,   31500,,   15725,,   15780,,  381795,,  197000,,  184790,
"Class of worker","  Class of worker - not applicable",169,     670,,     290,,     380,,    7320,,    3790,,    3530,
"Class of worker","  All classes of workers",170,   30835,,   15435,,   15395,,  374470,,  193210,,  181260,
"Class of worker","    Employee",,   28445,,   14170,,   14275,,  342685,,  173560,,  169125,
"Class of worker","    Self-employed",171,    2385,,    1260,,    1120,,   31785,,   19655,,   12130,
"Occupation - National Occupational Classification (NOC) 2016","Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data",172,   31505,,   15725,,   15780,,  381790,,  197005,,  184790,
"Occupation - National Occupational Classification (NOC) 2016","  Occupation - not applicable",169,     675,,     290,,     380,,    7320,,    3790,,    3530,
"Occupation - National Occupational Classification (NOC) 2016","  All occupations",170,   30830,,   15435,,   15395,,  374470,,  193215,,  181255,
"Occupation - National Occupational Classification (NOC) 2016","    0 Management occupations",,    3365,,    1950,,    1415,,   34015,,   20605,,   13415,
"Occupation - National Occupational Classification (NOC) 2016","    1 Business; finance and administration occupations",,    4795,,    1525,,    3265,,   52695,,   14200,,   38495,
"Occupation - National Occupational Classification (NOC) 2016","    2 Natural and applied sciences and related occupations",,    3075,,    2470,,     605,,   20705,,   16300,,    4405,
"Occupation - National Occupational Classification (NOC) 2016","    3 Health occupations",,    2195,,     475,,    1720,,   30730,,    4870,,   25865,
"Occupation - National Occupational Classification (NOC) 2016","    4 Occupations in education; law and social; community and government services",,    5315,,    2175,,    3145,,   45640,,   15355,,   30285,
"Occupation - National Occupational Classification (NOC) 2016","    5 Occupations in art; culture; recreation and sport",,    1050,,     510,,     535,,    6610,,    2925,,    3685,
"Occupation - National Occupational Classification (NOC) 2016","    6 Sales and service occupations",,    7995,,    3515,,    4485,,   91035,,   36535,,   54505,
"Occupation - National Occupational Classification (NOC) 2016","    7 Trades; transport and equipment operators and related occupations",,    2385,,    2275,,     110,,   59925,,   57015,,    2910,
"Occupation - National Occupational Classification (NOC) 2016","    8 Natural resources; agriculture and related production occupations",,     355,,     300,,      55,,   14485,,   12280,,    2205,
"Occupation - National Occupational Classification (NOC) 2016","    9 Occupations in manufacturing and utilities",,     295,,     240,,      60,,   18620,,   13130,,    5495,
"Industry - North American Industry Classification System (NAICS) 2012","Total labour force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data",173,   31505,,   15725,,   15780,,  381795,,  197000,,  184790,
"Industry - North American Industry Classification System (NAICS) 2012","  Industry - NAICS2012 - not applicable",169,     670,,     295,,     380,,    7320,,    3790,,    3530,
"Industry - North American Industry Classification System (NAICS) 2012","  All industry categories",170,   30830,,   15430,,   15400,,  374470,,  193210,,  181260,
"Industry - North American Industry Classification System (NAICS) 2012","    11 Agriculture; forestry; fishing and hunting",,     215,,     155,,      60,,   15135,,   12025,,    3115,
"Industry - North American Industry Classification System (NAICS) 2012","    21 Mining; quarrying; and oil and gas extraction",,      75,,      65,,      15,,    4345,,    3765,,     580,
"Industry - North American Industry Classification System (NAICS) 2012","    22 Utilities",,     515,,     350,,     175,,    3350,,    2615,,     735,
"Industry - North American Industry Classification System (NAICS) 2012","    23 Construction",,    1245,,    1105,,     145,,   27795,,   25195,,    2595,
"Industry - North American Industry Classification System (NAICS) 2012","    31-33 Manufacturing",,     795,,     565,,     230,,   32405,,   23215,,    9195,
"Industry - North American Industry Classification System (NAICS) 2012","    41 Wholesale trade",,     740,,     575,,     165,,   11170,,    8180,,    2990,
"Industry - North American Industry Classification System (NAICS) 2012","    44-45 Retail trade",,    3900,,    1840,,    2060,,   46180,,   21220,,   24950,
"Industry - North American Industry Classification System (NAICS) 2012","    48-49 Transportation and warehousing",,     895,,     700,,     200,,   17680,,   13295,,    4390,
"Industry - North American Industry Classification System (NAICS) 2012","    51 Information and cultural industries",,     935,,     565,,     365,,    6615,,    3700,,    2915,
"Industry - North American Industry Classification System (NAICS) 2012","    52 Finance and insurance",,     840,,     345,,     500,,   12415,,    4090,,    8325,
"Industry - North American Industry Classification System (NAICS) 2012","    53 Real estate and rental and leasing",,     530,,     325,,     205,,    3830,,    2245,,    1585,
"Industry - North American Industry Classification System (NAICS) 2012","    54 Professional; scientific and technical services",,    2530,,    1540,,     990,,   17240,,    9485,,    7750,
"Industry - North American Industry Classification System (NAICS) 2012","    55 Management of companies and enterprises",,      50,,      30,,      15,,     345,,     145,,     195,
"Industry - North American Industry Classification System (NAICS) 2012","    56 Administrative and support; waste management and remediation services",,    1375,,     750,,     620,,   18530,,   10060,,    8475,
"Industry - North American Industry Classification System (NAICS) 2012","    61 Educational services",,    3585,,    1450,,    2135,,   26090,,    8180,,   17905,
"Industry - North American Industry Classification System (NAICS) 2012","    62 Health care and social assistance",,    3635,,     700,,    2935,,   51380,,    7955,,   43430,
"Industry - North American Industry Classification System (NAICS) 2012","    71 Arts; entertainment and recreation",,     510,,     290,,     225,,    5950,,    3065,,    2885,
"Industry - North American Industry Classification System (NAICS) 2012","    72 Accommodation and food services",,    2600,,    1090,,    1510,,   24825,,    8460,,   16365,
"Industry - North American Industry Classification System (NAICS) 2012","    81 Other services (except public administration)",,    1315,,     510,,     800,,   17105,,    8365,,    8745,
"Industry - North American Industry Classification System (NAICS) 2012","    91 Public administration",,    4550,,    2480,,    2065,,   32090,,   17960,,   14135,
"Place of work status","Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data",174,   28735,,   14190,,   14545,,  339045,,  170050,,  168995,
"Place of work status","  Worked at home",,    1660,,     745,,     920,,   19445,,    9485,,    9955,
"Place of work status","  Worked outside Canada",,     175,,     130,,      45,,    1315,,     885,,     430,
"Place of work status","  No fixed workplace address",,    2235,,    1570,,     665,,   37925,,   28630,,    9300,
"Place of work status","  Worked at usual place",,   24660,,   11750,,   12910,,  280360,,  131055,,  149310,
"Commuting destination","Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data",,   24660,,   11750,,   12905,,  280360,,  131055,,  149310,
"Commuting destination","  Commute within census subdivision (CSD) of residence",,   21565,,    9790,,   11780,,  127230,,   57560,,   69670,
"Commuting destination","  Commute to a different census subdivision (CSD) within census division (CD) of residence",,     955,,     560,,     390,,   97230,,   44565,,   52665,
"Commuting destination","  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence",,    1835,,    1210,,     620,,   50560,,   25155,,   25410,
"Commuting destination","  Commute to a different province or territory",,     305,,     195,,     110,,    5345,,    3775,,    1565,
"Main mode of commuting","Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",175,   26900,,   13320,,   13575,,  318285,,  159680,,  158605,
"Main mode of commuting","  Car; truck; van - as a driver",,   20275,,   10395,,    9875,,  266035,,  135575,,  130460,
"Main mode of commuting","  Car; truck; van - as a passenger",,    2230,,     760,,    1475,,   24455,,    9855,,   14600,
"Main mode of commuting","  Public transit",,    1170,,     535,,     630,,    7290,,    3600,,    3690,
"Main mode of commuting","  Walked",,    2520,,    1225,,    1300,,   14650,,    6900,,    7755,
"Main mode of commuting","  Bicycle",,     400,,     240,,     165,,    1210,,     800,,     405,
"Main mode of commuting","  Other method",,     300,,     170,,     130,,    4645,,    2950,,    1695,
"Commuting duration","Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",176,   26895,,   13325,,   13575,,  318290,,  159680,,  158605,
"Commuting duration","  Less than 15 minutes",,   13790,,    6395,,    7400,,  135690,,   63885,,   71810,
"Commuting duration","  15 to 29 minutes",,   10210,,    5260,,    4955,,  118075,,   58505,,   59570,
"Commuting duration","  30 to 44 minutes",,    1795,,     985,,     805,,   39230,,   21385,,   17845,
"Commuting duration","  45 to 59 minutes",,     500,,     280,,     220,,   12945,,    7275,,    5670,
"Commuting duration","  60 minutes and over",,     605,,     405,,     195,,   12345,,    8635,,    3710,
"Time leaving for work","Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",177,   26900,,   13325,,   13575,,  318285,,  159680,,  158605,
"Time leaving for work","  Between 5 a.m. and 5:59 a.m.",,     745,,     450,,     300,,   17850,,   12755,,    5100,
"Time leaving for work","  Between 6 a.m. and 6:59 a.m.",,    2705,,    1605,,    1105,,   51825,,   30905,,   20925,
"Time leaving for work","  Between 7 a.m. and 7:59 a.m.",,    9590,,    4810,,    4775,,  112460,,   55470,,   56990,
"Time leaving for work","  Between 8 a.m. and 8:59 a.m.",,    7280,,    3340,,    3940,,   64235,,   25835,,   38400,
"Time leaving for work","  Between 9 a.m. and 11:59 a.m.",,    2965,,    1300,,    1670,,   25595,,    9415,,   16180,
"Time leaving for work","  Between 12 p.m. and 4:59 a.m.",,    3610,,    1820,,    1790,,   46320,,   25300,,   21020,
"Language used most often at work","Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data",178,   33685,,   16770,,   16920,,  413695,,  212875,,  200820,
"Language used most often at work","  Single responses",,   33020,,   16515,,   16510,,  395120,,  204270,,  190850,
"Language used most often at work","    Official languages",,   32815,,   16385,,   16430,,  394015,,  203660,,  190355,
"Language used most often at work","      English",,   32130,,   16175,,   15950,,  304775,,  160255,,  144515,
"Language used most often at work","      French",,     685,,     205,,     475,,   89240,,   43400,,   45840,
"Language used most often at work","    Non-official languages",,     210,,     130,,      80,,    1105,,     615,,     490,
"Language used most often at work","      Aboriginal languages",,       0,,       0,,       0,,     255,,     140,,     115,
"Language used most often at work","        Algonquian languages",,       0,,       0,,       0,,     250,,     135,,     110,
"Language used most often at work","          Blackfoot",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Cree-Montagnais languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Moose Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Northern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Plains Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Swampy Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Woods Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Cree; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Eastern Algonquian languages",,       0,,       0,,       0,,     255,,     135,,     110,
"Language used most often at work","            Malecite",,       0,,       0,,       0,,      15,,      10,,      10,
"Language used most often at work","            Mi'kmaq",,       0,,       0,,       0,,     240,,     135,,     110,
"Language used most often at work","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Algonquin",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Ojibway",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Oji-Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Ottawa (Odawa)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Athabaskan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Northern Athabaskan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Carrier",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Chilcotin",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Dene",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Dogrib (Tlicho)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Slavey-Hare languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Haida",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Inuit languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Inuktitut",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Inuit languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Iroquoian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Mohawk",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Michif",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Salish languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
