,,,"Fredericton, City [Census subdivision], New Brunswick",,,,,,"New Brunswick [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Household type","Total - Private households by household type - 100% data",12,   25955,,,...,,...,  319770,,,...,,...
"Household type","  One-census-family households",,   15580,,,...,,...,  214235,,,...,,...
"Household type","    Without children in a census family",13,    7240,,,...,,...,  102170,,,...,,...
"Household type","    With children in a census family",14,    8335,,,...,,...,  112070,,,...,,...
"Household type","  Multiple-census-family households",,     205,,,...,,...,    4280,,,...,,...
"Household type","  Non-census-family households",,   10175,,,...,,...,  101255,,,...,,...
"Household type","    One-person households",,    8420,,,...,,...,   89480,,,...,,...
"Household type","    Two-or-more person non-census-family households",,    1750,,,...,,...,   11775,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,   57490,,   27400,,   30090,,  736280,,  360440,,  375840,
"Knowledge of official languages","  English only",,   43290,,   21135,,   22155,,  420820,,  210555,,  210260,
"Knowledge of official languages","  French only",,     195,,      95,,      95,,   63140,,   29955,,   33190,
"Knowledge of official languages","  English and French",,   13360,,    5870,,    7490,,  249950,,  118705,,  131245,
"Knowledge of official languages","  Neither English nor French",,     650,,     295,,     350,,    2370,,    1220,,    1150,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,   57490,,   27400,,   30090,,  736280,,  360440,,  375845,
"First official language spoken","  English",,   52575,,   25180,,   27390,,  498365,,  244230,,  254135,
"First official language spoken","  French",,    3930,,    1760,,    2165,,  232450,,  113500,,  118945,
"First official language spoken","  English and French",,     350,,     165,,     185,,    3210,,    1550,,    1655,
"First official language spoken","  Neither English nor French",,     640,,     290,,     345,,    2255,,    1150,,    1100,
"First official language spoken","Official language minority (number)",17,    4100,,    1845,,    2260,,  234055,,  114280,,  119775,
"First official language spoken","Official language minority (percentage)",17,    7.1,,    6.7,,    7.5,,   31.8,,   31.7,,   31.9,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,   57490,,   27395,,   30090,,  736280,,  360440,,  375845,
"Mother tongue","  Single responses",,   56555,,   26975,,   29575,,  726990,,  356005,,  370990,
"Mother tongue","    Official languages",,   51095,,   24200,,   26900,,  703840,,  344285,,  359555,
"Mother tongue","      English",,   47200,,   22450,,   24750,,  472725,,  231595,,  241135,
"Mother tongue","      French",,    3900,,    1750,,    2145,,  231110,,  112690,,  118415,
"Mother tongue","    Non-official languages",,    5455,,    2780,,    2680,,   23150,,   11715,,   11435,
"Mother tongue","      Aboriginal languages",,      35,,      20,,      20,,    2165,,    1035,,    1135,
"Mother tongue","        Algonquian languages",,      35,,      20,,      10,,    2130,,    1020,,    1110,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Cree-Montagnais languages",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
