"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v68869957","38.1.6","2137","","","","0"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v68869957","38.1.6","2462","","","","0"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, persons charged","Number","223","units","0","v68869958","38.1.7","16090","","","","0"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, persons charged","Number","223","units","0","v68869958","38.1.7","15817","","","","0"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, persons charged","Number","223","units","0","v68869958","38.1.7","15061","","","","0"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, persons charged","Number","223","units","0","v68869958","38.1.7","14932","","","","0"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, persons charged","Number","223","units","0","v68869958","38.1.7","13770","","","","0"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, persons charged","Number","223","units","0","v68869958","38.1.7","12156","","","","0"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, persons charged","Number","223","units","0","v68869958","38.1.7","11326","","","","0"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, persons charged","Number","223","units","0","v68869958","38.1.7","12072","","","","0"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, persons charged","Number","223","units","0","v68869958","38.1.7","13010","","","","0"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68869959","38.1.8","1399.58","","","","2"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68869959","38.1.8","1356.43","","","","2"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68869959","38.1.8","1269.67","","","","2"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68869959","38.1.8","1231.88","","","","2"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68869959","38.1.8","1108.68","","","","2"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68869959","38.1.8","966.49","","","","2"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68869959","38.1.8","903.20","","","","2"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68869959","38.1.8","951.94","","","","2"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68869959","38.1.8","985.64","","","","2"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, adult charged","Number","223","units","0","v68869960","38.1.9","14433","","","","0"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, adult charged","Number","223","units","0","v68869960","38.1.9","14055","","","","0"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, adult charged","Number","223","units","0","v68869960","38.1.9","13364","","","","0"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, adult charged","Number","223","units","0","v68869960","38.1.9","13444","","","","0"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, adult charged","Number","223","units","0","v68869960","38.1.9","12580","","","","0"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, adult charged","Number","223","units","0","v68869960","38.1.9","11546","","","","0"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, adult charged","Number","223","units","0","v68869960","38.1.9","10892","","","","0"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, adult charged","Number","223","units","0","v68869960","38.1.9","11448","","","","0"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, adult charged","Number","223","units","0","v68869960","38.1.9","12206","","","","0"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v68869961","38.1.10","1383.40","","","","2"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v68869961","38.1.10","1326.27","","","","2"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v68869961","38.1.10","1237.24","","","","2"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v68869961","38.1.10","1214.83","","","","2"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v68869961","38.1.10","1106.99","","","","2"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v68869961","38.1.10","1001.99","","","","2"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v68869961","38.1.10","946.53","","","","2"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v68869961","38.1.10","981.12","","","","2"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v68869961","38.1.10","1002.14","","","","2"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth charged","Number","223","units","0","v68869962","38.1.11","1657","","","","0"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth charged","Number","223","units","0","v68869962","38.1.11","1762","","","","0"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth charged","Number","223","units","0","v68869962","38.1.11","1697","","","","0"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth charged","Number","223","units","0","v68869962","38.1.11","1488","","","","0"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth charged","Number","223","units","0","v68869962","38.1.11","1190","","","","0"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth charged","Number","223","units","0","v68869962","38.1.11","610","","","","0"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth charged","Number","223","units","0","v68869962","38.1.11","434","","","","0"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth charged","Number","223","units","0","v68869962","38.1.11","624","","","","0"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth charged","Number","223","units","0","v68869962","38.1.11","804","","","","0"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869963","38.1.12","1558.30","","","","2"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869963","38.1.12","1656.96","","","","2"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869963","38.1.12","1599.93","","","","2"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869963","38.1.12","1410.76","","","","2"
