,,,"Vancouver, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","      Aboriginal languages",,     455,,     230,,     230,,    8435,,    3940,,    4490,
"Mother tongue","        Algonquian languages",,     170,,      90,,      85,,    1050,,     445,,     605,
"Mother tongue","          Blackfoot",,      15,,       5,,      10,,      40,,       5,,      35,
"Mother tongue","          Cree-Montagnais languages",,     125,,      65,,      55,,     840,,     375,,     465,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","            Plains Cree",,      20,,      10,,      10,,     150,,      60,,      85,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Swampy Cree",,       5,,       5,,       0,,      25,,      15,,      10,
"Mother tongue","            Woods Cree",,      10,,       5,,       0,,      60,,      25,,      35,
"Mother tongue","            Cree; n.o.s.",,      95,,      45,,      40,,     585,,     270,,     320,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      10,,       5,,      10,
"Mother tongue","            Malecite",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       5,,      10,,       5,,       5,
"Mother tongue","          Ojibway-Potawatomi languages",,      30,,      15,,      15,,     155,,      55,,     105,
"Mother tongue","            Algonquin",,       5,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Ojibway",,      30,,      15,,      15,,     135,,      50,,      90,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Athabaskan languages",,      65,,      30,,      30,,    2310,,    1045,,    1260,
"Mother tongue","          Northern Athabaskan languages",,      60,,      35,,      30,,    2295,,    1045,,    1250,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,     110,,      55,,      55,
"Mother tongue","            Beaver",,       0,,       0,,       0,,     160,,      75,,      85,
"Mother tongue","            Carrier",,      25,,      10,,      15,,    1005,,     460,,     550,
"Mother tongue","            Chilcotin",,      20,,      10,,      10,,     650,,     295,,     355,
"Mother tongue","            Dene",,       5,,       0,,       5,,      90,,      35,,      50,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Gwich'in",,      10,,       5,,       5,,      15,,       5,,      10,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,      75,,      30,,      45,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,      50,,      25,,      30,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,     105,,      45,,      50,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       5,,       0,,       0,,      15,,       5,,      10,
"Mother tongue","        Haida",,      10,,      10,,       0,,      70,,      30,,      40,
"Mother tongue","        Inuit languages",,       5,,       0,,       5,,      80,,      30,,      55,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","          Inuktitut",,       0,,       0,,       5,,      50,,      20,,      30,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Kutenai",,       5,,       5,,       0,,     100,,      55,,      50,
"Mother tongue","        Michif",,       5,,       0,,       5,,      35,,      20,,      10,
"Mother tongue","        Salish languages",,      35,,      15,,      20,,    2270,,    1115,,    1155,
"Mother tongue","          Comox",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,     475,,     230,,     245,
"Mother tongue","          Lillooet",,       5,,       0,,       0,,     315,,     155,,     160,
"Mother tongue","          Okanagan",,       5,,       0,,       0,,     270,,     135,,     135,
"Mother tongue","          Shuswap (Secwepemctsin)",,      10,,       5,,       5,,     435,,     220,,     215,
"Mother tongue","          Squamish",,       0,,       0,,       0,,      35,,      20,,      20,
"Mother tongue","          Straits",,       0,,       0,,       0,,      80,,      40,,      40,
"Mother tongue","          Thompson (Ntlakapamux)",,       5,,       5,,       0,,     330,,     150,,     185,
"Mother tongue","          Salish languages; n.i.e.",,      15,,       5,,      15,,     250,,     130,,     120,
"Mother tongue","        Siouan languages",,      20,,      10,,      10,,      45,,      25,,      20,
"Mother tongue","          Dakota",,      15,,      10,,      10,,      30,,      15,,      20,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Siouan languages; n.i.e.",,       5,,       5,,       0,,       5,,       5,,       0,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","        Tsimshian languages",,      70,,      30,,      35,,    1460,,     715,,     740,
"Mother tongue","          Gitxsan (Gitksan)",,      35,,      15,,      20,,     875,,     435,,     445,
"Mother tongue","          Nisga'a",,      20,,      10,,      10,,     385,,     195,,     190,
"Mother tongue","          Tsimshian",,      15,,       5,,      10,,     195,,      90,,     110,
"Mother tongue","        Wakashan languages",,      40,,      15,,      25,,     795,,     365,,     435,
"Mother tongue","          Haisla",,       5,,       5,,       5,,      90,,      40,,      55,
"Mother tongue","          Heiltsuk",,      10,,       5,,      10,,     100,,      45,,      55,
"Mother tongue","          Kwakiutl (Kwak'wala)",,      10,,       5,,       5,,     320,,     140,,     180,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,      10,,       5,,       0,,     275,,     135,,     140,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       5,,      10,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,      30,,      15,,      15,,     190,,      80,,     110,
"Mother tongue","      Non-Aboriginal languages",,  273755,,  124590,,  149165,, 1259025,,  587455,,  671570,
"Mother tongue","        Afro-Asiatic languages",,    4305,,    2465,,    1840,,   24870,,   13405,,   11465,
"Mother tongue","          Berber languages",,      25,,      20,,       5,,     115,,      75,,      45,
"Mother tongue","            Kabyle",,       5,,       5,,       0,,      40,,      30,,      15,
"Mother tongue","            Berber languages; n.i.e.",,      20,,      15,,       5,,      80,,      45,,      30,
"Mother tongue","          Cushitic languages",,     205,,     120,,      90,,    1505,,     765,,     740,
"Mother tongue","            Bilen",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Oromo",,      75,,      45,,      35,,     205,,     115,,      95,
"Mother tongue","            Somali",,     125,,      70,,      55,,    1270,,     640,,     640,
"Mother tongue","            Cushitic languages; n.i.e.",,       5,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Semitic languages",,    4065,,    2320,,    1740,,   23195,,   12540,,   10655,
"Mother tongue","            Amharic",,     305,,     150,,     145,,    1370,,     670,,     700,
"Mother tongue","            Arabic",,    2485,,    1505,,     980,,   17480,,    9595,,    7890,
"Mother tongue","            Assyrian Neo-Aramaic",,      70,,      35,,      35,,     650,,     315,,     330,
"Mother tongue","            Chaldean Neo-Aramaic",,      15,,       5,,      10,,     440,,     245,,     200,
"Mother tongue","            Harari",,       5,,       5,,       5,,      20,,       5,,      15,
"Mother tongue","            Hebrew",,    1050,,     555,,     500,,    2065,,    1125,,     940,
"Mother tongue","            Maltese",,      15,,      10,,       5,,     215,,     100,,     115,
"Mother tongue","            Tigrigna",,     120,,      55,,      65,,     805,,     395,,     405,
"Mother tongue","            Semitic languages; n.i.e.",,       5,,       5,,       0,,     150,,      80,,      65,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,      10,,      10,,       5,,      55,,      30,,      25,
"Mother tongue","        Austro-Asiatic languages",,   10935,,    5010,,    5930,,   28740,,   13170,,   15575,
"Mother tongue","          Khmer (Cambodian)",,     295,,     130,,     165,,    1560,,     710,,     850,
"Mother tongue","          Vietnamese",,   10620,,    4860,,    5750,,   27150,,   12440,,   14710,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,      25,,      15,,      10,,      30,,      15,,      15,
"Mother tongue","        Austronesian languages",,   24470,,    9665,,   14805,,   96535,,   38765,,   57770,
"Mother tongue","          Bikol",,     100,,      40,,      60,,     375,,     165,,     215,
"Mother tongue","          Cebuano",,     880,,     310,,     570,,    4065,,    1565,,    2505,
"Mother tongue","          Fijian",,      45,,      20,,      25,,     470,,     240,,     230,
"Mother tongue","          Hiligaynon",,     455,,     165,,     290,,    1470,,     550,,     920,
"Mother tongue","          Ilocano",,    1900,,     745,,    1155,,    5240,,    2055,,    3190,
"Mother tongue","          Malagasy",,       5,,       5,,       5,,      20,,      10,,      15,
"Mother tongue","          Malay",,     960,,     440,,     525,,    3895,,    1675,,    2220,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,     200,,      95,,     105,,     700,,     320,,     380,
"Mother tongue","          Pangasinan",,      95,,      45,,      50,,     295,,     130,,     170,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,   19435,,    7630,,   11800,,   78770,,   31550,,   47220,
"Mother tongue","          Waray-Waray",,      50,,      25,,      25,,     215,,      85,,     135,
"Mother tongue","          Austronesian languages; n.i.e.",,     345,,     155,,     195,,    1015,,     435,,     580,
"Mother tongue","        Creole languages",,     100,,      50,,      50,,     840,,     440,,     400,
"Mother tongue","          Haitian Creole",,       0,,       0,,       5,,      35,,      20,,      15,
"Mother tongue","          Creole; n.o.s.",,      60,,      30,,      35,,     500,,     255,,     245,
"Mother tongue","          Creole languages; n.i.e.",,      35,,      20,,      15,,     305,,     155,,     145,
"Mother tongue","        Dravidian languages",,    2020,,    1145,,     880,,    7500,,    3995,,    3510,
"Mother tongue","          Kannada",,      50,,      35,,      20,,     280,,     150,,     135,
"Mother tongue","          Malayalam",,     340,,     185,,     150,,    2385,,    1260,,    1130,
"Mother tongue","          Tamil",,    1330,,     715,,     620,,    3615,,    1875,,    1740,
"Mother tongue","          Telugu",,     290,,     210,,      80,,    1175,,     695,,     480,
"Mother tongue","          Dravidian languages; n.i.e.",,      15,,       5,,       5,,      45,,      20,,      25,
"Mother tongue","        Hmong-Mien languages",,      10,,       5,,      10,,     140,,      75,,      70,
"Mother tongue","        Indo-European languages",,   78130,,   38030,,   40100,,  588175,,  286135,,  302035,
"Mother tongue","          Albanian",,     135,,      70,,      60,,    1465,,     765,,     705,
"Mother tongue","          Armenian",,     340,,     160,,     180,,    1195,,     600,,     600,
"Mother tongue","          Balto-Slavic languages",,   14740,,    6665,,    8075,,   83110,,   38595,,   44515,
"Mother tongue","            Baltic languages",,     265,,     100,,     160,,    1070,,     485,,     585,
"Mother tongue","              Latvian",,     120,,      50,,      70,,     565,,     255,,     300,
"Mother tongue","              Lithuanian",,     140,,      45,,      95,,     505,,     225,,     280,
"Mother tongue","            Slavic languages",,   14475,,    6565,,    7910,,   82040,,   38110,,   43930,
"Mother tongue","              Belarusan",,      15,,      10,,       5,,      95,,      45,,      50,
"Mother tongue","              Bosnian",,     235,,     110,,     125,,    1360,,     675,,     685,
"Mother tongue","              Bulgarian",,     465,,     205,,     255,,    2025,,     955,,    1070,
"Mother tongue","              Croatian",,    1250,,     580,,     675,,    7475,,    3655,,    3820,
"Mother tongue","              Czech",,    1000,,     485,,     515,,    5920,,    2850,,    3070,
"Mother tongue","              Macedonian",,      80,,      35,,      45,,     325,,     160,,     165,
"Mother tongue","              Polish",,    2720,,    1225,,    1495,,   16910,,    7875,,    9035,
