,,,"Brampton, City [Census subdivision], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","            Somali",,     580,,     270,,     305,,   22680,,    9755,,   12925,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       5,,       5,,     225,,     115,,     110,
"Mother tongue","          Semitic languages",,    7475,,    3815,,    3665,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,     265,,     140,,     125,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,    4205,,    2170,,    2035,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,    1890,,     945,,     940,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,     335,,     155,,     175,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,      35,,      25,,      20,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,      25,,      20,,      10,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,     455,,     230,,     220,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,     115,,      50,,      70,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,     150,,      75,,      70,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,      80,,      30,,      45,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,    4845,,    2295,,    2550,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,     215,,      90,,     120,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,    4615,,    2195,,    2415,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,      20,,      10,,      10,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,   11885,,    5085,,    6800,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,      40,,      20,,      20,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,     415,,     190,,     230,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,      10,,       0,,       5,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,     100,,      45,,      55,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,     500,,     210,,     295,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,       5,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Malay",,     190,,      80,,     110,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,     160,,      80,,      80,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,      35,,      15,,      20,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,   10345,,    4400,,    5945,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,      30,,      10,,      15,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,      55,,      25,,      25,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,     760,,     380,,     380,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,       5,,       5,,       0,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,     435,,     225,,     210,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,     315,,     150,,     165,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,   17170,,    8435,,    8740,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,     360,,     175,,     185,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,    2635,,    1310,,    1320,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,   12695,,    6195,,    6500,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,    1445,,     740,,     705,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,      40,,      25,,      20,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,  214370,,  107020,,  107350,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,     265,,     130,,     135,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,     200,,     100,,     100,,   15070,,    7305,,    7765,
